,Season,Lg,Team,W,L,W/L%,Finish,SRS,Unnamed: 8,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Unnamed: 15,Playoffs,Coaches,Top WS
54,1966-67,NBA,Cincinnati Royals*,39,42,.481,3rd of 5,-0.23,,118.6,-3.0,98.4,2.3,98.6,2.5,,Lost E. Div. Semis,J. McMahon (39-42),O. Robertson (17.4)
55,1965-66,NBA,Cincinnati Royals*,45,35,.563,3rd of 4,1.03,,120.4,-1.0,97.5,2.6,96.5,1.6,,Lost E. Div. Semis,J. McMahon (45-35),O. Robertson (16.9)
56,1964-65,NBA,Cincinnati Royals*,48,32,.600,2nd of 4,2.04,,115.8,-1.5,98.0,4.4,96.0,2.4,,Lost E. Div. Semis,J. McMahon (48-32),O. Robertson (17.0)
57,1963-64,NBA,Cincinnati Royals*,55,25,.688,2nd of 4,4.43,,115.9,2.7,98.9,4.3,94.5,-0.1,,Lost E. Div. Finals,J. McMahon (55-25),O. Robertson (20.6)
58,1962-63,NBA,Cincinnati Royals*,42,38,.525,3rd of 4,1.24,,119.0,4.0,99.4,3.5,98.3,2.4,,Lost E. Div. Finals,C. Wolf (42-38),O. Robertson (16.8)
59,1961-62,NBA,Cincinnati Royals*,43,37,.538,2nd of 5,1.28,,124.9,3.6,98.3,4.7,96.9,3.3,,Lost W. Div. Semis,C. Wolf (43-37),O. Robertson (15.6)
60,1960-61,NBA,Cincinnati Royals,33,46,.418,4th of 4,-3.04,,122.8,-0.7,95.6,3.5,98.4,6.3,,,C. Wolf (33-46),O. Robertson (13.2)
61,1959-60,NBA,Cincinnati Royals,19,56,.253,4th of 4,-5.92,,121.6,-0.7,91.3,0.2,96.5,5.4,,,T. Marshall (19-56),J. Twyman (8.3)
62,1958-59,NBA,Cincinnati Royals,19,53,.264,4th of 4,-7.89,,116.4,4.4,87.5,-2.7,95.0,4.8,,,"B. Wanzer (3-15), T. Marshall (16-38)",J. Twyman (7.3)
63,1957-58,NBA,Cincinnati Royals*,33,39,.458,3rd of 4,-1.47,,117.3,0.3,86.5,-2.3,87.6,-1.2,,Lost W. Div. Semis,B. Wanzer (33-39),C. Lovellette (10.1)
64,1956-57,NBA,Rochester Royals,31,41,.431,4th of 4,-2.08,,109.4,4.5,84.9,-4.0,86.9,-2.0,,,B. Wanzer (31-41),J. Twyman (8.8)
65,1955-56,NBA,Rochester Royals,31,41,.431,4th of 4,-2.61,,111.7,8.9,85.3,-5.0,87.9,-2.4,,,B. Wanzer (31-41),M. Stokes (6.0)
66,1954-55,NBA,Rochester Royals*,29,43,.403,3rd of 4,-1.43,,99.5,1.4,90.7,0.9,92.3,2.5,,Lost W. Div. Semis,L. Harrison (29-43),J. Coleman (6.2)
67,1953-54,NBA,Rochester Royals*,44,28,.611,2nd of 4,2.24,,90.9,7.3,86.6,-0.9,84.0,-3.5,,Lost W. Div. Finals,L. Harrison (44-28),B. Wanzer (9.1)
68,1952-53,NBA,Rochester Royals*,44,26,.629,2nd of 5,2.62,,94.1,13.6,89.8,1.8,86.9,-0.8,,Lost W. Div. Semis,L. Harrison (44-26),B. Wanzer (7.9)
69,1951-52,NBA,Rochester Royals*,41,25,.621,1st of 5,2.92,,92.7,6.9,91.6,4.7,88.1,1.2,,Lost W. Div. Finals,L. Harrison (41-25),B. Wanzer (11.4)
70,1950-51,NBA,Rochester Royals*,41,27,.603,2nd of 5,2.54,,92.3,6.8,89.3,4.2,86.2,1.1,,Won Finals,L. Harrison (41-27),A. Risen (9.3)
71,1949-50,NBA,Rochester Royals*,51,17,.750,2nd of 5,7.72,,,,,,,,,Lost Central Div. Semis,L. Harrison (51-17),B. Wanzer (10.5)
72,1948-49,BAA,Rochester Royals*,45,15,.750,1st of 6,6.12,,,,,,,,,Lost W. Div. Finals,L. Harrison (45-15),A. Risen (10.6)
